"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 02:31:36 UTC 2023","Thu Sep 07 02:31:40 UTC 2023","4285","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Thu Sep 07 02:46:03 UTC 2023","Thu Sep 07 02:47:04 UTC 2023","60967","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Thu Sep 07 02:28:55 UTC 2023","Thu Sep 07 02:29:03 UTC 2023","8017","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Sep 07 02:42:30 UTC 2023","Thu Sep 07 02:42:38 UTC 2023","8160","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Sep 07 02:59:47 UTC 2023","Thu Sep 07 03:00:05 UTC 2023","17874","","9. Client Portal - Home","","","","1. Check links",""
"passed","Thu Sep 07 03:10:39 UTC 2023","Thu Sep 07 03:10:42 UTC 2023","2558","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Thu Sep 07 02:51:30 UTC 2023","Thu Sep 07 02:51:30 UTC 2023","469","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Sep 07 02:54:07 UTC 2023","Thu Sep 07 02:54:10 UTC 2023","3417","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Sep 07 02:53:59 UTC 2023","Thu Sep 07 02:54:07 UTC 2023","7863","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Sep 07 02:31:40 UTC 2023","Thu Sep 07 02:31:52 UTC 2023","11079","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Sep 07 03:13:47 UTC 2023","Thu Sep 07 03:13:53 UTC 2023","5674","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Sep 07 02:18:39 UTC 2023","Thu Sep 07 02:19:13 UTC 2023","34238","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Sep 07 02:44:52 UTC 2023","Thu Sep 07 02:45:51 UTC 2023","59279","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Thu Sep 07 03:29:18 UTC 2023","Thu Sep 07 03:29:21 UTC 2023","2647","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Thu Sep 07 04:03:06 UTC 2023","Thu Sep 07 04:03:07 UTC 2023","1147","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Sep 07 03:45:53 UTC 2023","Thu Sep 07 03:45:58 UTC 2023","5238","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Thu Sep 07 03:21:23 UTC 2023","Thu Sep 07 03:21:25 UTC 2023","2619","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Sep 07 02:38:37 UTC 2023","Thu Sep 07 02:39:00 UTC 2023","23076","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Sep 07 02:50:40 UTC 2023","Thu Sep 07 02:50:46 UTC 2023","5189","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Sep 07 02:54:59 UTC 2023","Thu Sep 07 02:55:00 UTC 2023","527","","6. Company Account","","","","9. Review Final Review",""
"passed","Thu Sep 07 03:13:53 UTC 2023","Thu Sep 07 03:13:55 UTC 2023","1647","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Sep 07 03:52:31 UTC 2023","Thu Sep 07 03:52:33 UTC 2023","2172","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Thu Sep 07 03:29:51 UTC 2023","Thu Sep 07 03:30:00 UTC 2023","9090","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Thu Sep 07 02:34:56 UTC 2023","Thu Sep 07 02:35:19 UTC 2023","22923","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Sep 07 02:57:09 UTC 2023","Thu Sep 07 02:57:50 UTC 2023","41559","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Sep 07 03:20:49 UTC 2023","Thu Sep 07 03:20:50 UTC 2023","1369","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Sep 07 03:06:26 UTC 2023","Thu Sep 07 03:06:52 UTC 2023","25998","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Thu Sep 07 03:29:15 UTC 2023","Thu Sep 07 03:29:18 UTC 2023","2819","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Sep 07 02:42:42 UTC 2023","Thu Sep 07 02:43:03 UTC 2023","21442","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Thu Sep 07 03:51:54 UTC 2023","Thu Sep 07 03:51:59 UTC 2023","5056","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Thu Sep 07 02:23:55 UTC 2023","Thu Sep 07 02:24:49 UTC 2023","54322","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Sep 07 02:54:11 UTC 2023","Thu Sep 07 02:54:24 UTC 2023","13451","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Thu Sep 07 03:51:23 UTC 2023","Thu Sep 07 03:51:50 UTC 2023","27080","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Sep 07 03:10:42 UTC 2023","Thu Sep 07 03:11:05 UTC 2023","22284","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Sep 07 03:54:58 UTC 2023","Thu Sep 07 03:55:50 UTC 2023","52015","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Sep 07 03:45:58 UTC 2023","Thu Sep 07 03:45:59 UTC 2023","446","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Thu Sep 07 02:42:11 UTC 2023","Thu Sep 07 02:42:30 UTC 2023","18841","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Sep 07 03:43:25 UTC 2023","Thu Sep 07 03:43:28 UTC 2023","2439","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Thu Sep 07 03:48:30 UTC 2023","Thu Sep 07 03:48:55 UTC 2023","25338","","21. Forgot password function","","","","2. Reset password",""
"passed","Thu Sep 07 03:45:59 UTC 2023","Thu Sep 07 03:46:09 UTC 2023","9867","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Sep 07 02:44:48 UTC 2023","Thu Sep 07 02:44:52 UTC 2023","3566","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
